section,hscode,description,parent,level,datetime_extracted
Section I,0206.22,Livers,0206,6,2025-11-14 21:49:39.532190
Section I,0206.29,Other,0206,6,2025-11-14 21:49:39.532190
Section I,0206.30,"Of swine, fresh or chilled",0206,6,2025-11-14 21:49:39.532190
Section I,0206.41,Livers,0206,6,2025-11-14 21:49:39.532190
Section I,0206.49,Other,0206,6,2025-11-14 21:49:39.532190
Section I,0206.80,"Other, fresh or chilled",0206,6,2025-11-14 21:49:39.532190
Section I,0206.90,"Other, frozen",0206,6,2025-11-14 21:49:39.532190
Section I,0207.11,"Not cut in pieces, fresh or chilled",0207,6,2025-11-14 21:49:39.532190
Section I,0207.12,"Not cut in pieces, frozen",0207,6,2025-11-14 21:49:39.532190
Section I,0207.13,"Cuts and offal, fresh or chilled",0207,6,2025-11-14 21:49:39.532190
Section I,0207.14,"Cuts and offal, frozen",0207,6,2025-11-14 21:49:39.532190
Section I,0207.24,"Not cut in pieces, fresh or chilled",0207,6,2025-11-14 21:49:39.532190
Section I,0207.25,"Not cut in pieces, frozen",0207,6,2025-11-14 21:49:39.532190
Section I,0207.26,"Cuts and offal, fresh or chilled",0207,6,2025-11-14 21:49:39.532190
Section I,0207.27,"Cuts and offal, frozen",0207,6,2025-11-14 21:49:39.532190
Section I,0207.41,"Not cut in pieces, fresh or chilled",0207,6,2025-11-14 21:49:39.532190
Section I,0207.42,"Not cut in pieces, frozen",0207,6,2025-11-14 21:49:39.532190
Section I,0207.43,"Fatty livers, fresh or chilled",0207,6,2025-11-14 21:49:39.532190
Section I,0207.44,"Other, fresh or chilled",0207,6,2025-11-14 21:49:39.532190
Section I,0207.45,"Other, frozen",0207,6,2025-11-14 21:49:39.532190
Section I,0207.51,"Not cut in pieces, fresh or chilled",0207,6,2025-11-14 21:49:39.532190
Section I,0207.52,"Not cut in pieces, frozen",0207,6,2025-11-14 21:49:39.532190
Section I,0207.53,"Fatty livers, fresh or chilled",0207,6,2025-11-14 21:49:39.532190
Section I,0207.54,"Other, fresh or chilled",0207,6,2025-11-14 21:49:39.532190
Section I,0207.55,"Other, frozen",0207,6,2025-11-14 21:49:39.532190
Section I,0207.60,Of guinea fowls,0207,6,2025-11-14 21:49:39.532190
Section I,0208.10,Of rabbits or hares,0208,6,2025-11-14 21:49:39.532190
Section I,0208.30,Of primates,0208,6,2025-11-14 21:49:39.532190
Section I,0208.40,"Of whales, dolphins and porpoises (mammals ofthe order Cetacea ); of manatees and dugongs(mammals of the order Sirenia ); of seals, sea lionsand walruses (mammals of the suborderPinnipedia)",0208,6,2025-11-14 21:49:39.532190
Section I,0208.50,Of reptiles (including snakes and turtles),0208,6,2025-11-14 21:49:39.532190
Section I,0208.60,Of camels and other camelids (Camelidae ),0208,6,2025-11-14 21:49:39.532190
Section I,0208.90,Other :,0208,6,2025-11-14 21:49:39.532190
Section I,0208.90.10,Frogs’ legs,020890,8,2025-11-14 21:49:39.532190
Section I,0208.90.90,Other,020890,8,2025-11-14 21:49:39.532190
Section I,0209.10,Of pigs,0209,6,2025-11-14 21:49:39.532190
Section I,0209.90,Other,0209,6,2025-11-14 21:49:39.532190
Section I,0210.11,"Hams, shoulders and cuts thereof, with bone in",0210,6,2025-11-14 21:49:39.532190
Section I,0210.12,Bellies (streaky) and cuts thereof,0210,6,2025-11-14 21:49:39.532190
Section I,0210.19,Other,0210,6,2025-11-14 21:49:39.532190
Section I,0210.20,Meat of bovine animals,0210,6,2025-11-14 21:49:39.532190
Section I,0210.91,Of primates,0210,6,2025-11-14 21:49:39.532190
Section I,0210.92,"Of whales, dolphins and porpoises (mammals ofthe order Cetacea); of manatees and dugongs(mammals of the order Sirenia); of seals, sea lionsand walruses (mammals of the suborderPinnipedia)",0210,6,2025-11-14 21:49:39.532190
Section I,0210.93,Of reptiles (including snakes and turtles),0210,6,2025-11-14 21:49:39.532190
Section I,0210.99,Other,0210,6,2025-11-14 21:49:39.532190
Section I,03.01,Live fish (+).,03,4,2025-11-14 21:49:39.532190
Section I,03.02,"Fish, fresh or chilled, excluding fish filletsand other fish meat of heading 03.04 (+).",03,4,2025-11-14 21:49:39.532190
Section I,03.03,"Fish, frozen, excluding fish fillets and otherfish meat of heading 03.04 (+).",03,4,2025-11-14 21:49:39.532190
Section I,03.04,"Fish fillets and other fish meat (whether ornot minced), fresh,chilled or frozen.",03,4,2025-11-14 21:49:39.532190
Section I,03.05,"Fish, dried, salted or in brine; smoked fish,whether or not cooked before or during thesmoking process (+).",03,4,2025-11-14 21:49:39.532190
Section I,03.06,"Crustaceans, whether in shell or not, live,fresh, chilled, frozen, dried, salted or inbrine; smoked crustaceans, whether in shellor not, whether or not cooked before orduring the smoking process; crustaceans, inshell, cooked by steaming or by boiling inwater, whether or not chilled, frozen, dried,salted or in brine.",03,4,2025-11-14 21:49:39.532190
Section I,03.07,"Molluscs, whether in shell or not, live, fresh,chilled, frozen, dried, salted or in brine;smoked molluscs, whether in shell or not,whether or not cooked before or during thesmoking process.",03,4,2025-11-14 21:49:39.532190
Section I,03.08,"Aquatic invertebrates other than crustaceansand molluscs, live, fresh, chilled, frozen,dried, salted or in brine; smoked aquaticinvertebrates other than crustaceans andmolluscs, whether or not cooked before orduring the smoking process.",03,4,2025-11-14 21:49:39.532190
Section I,03.09,"Flours, meals and pellets of fish, crustaceans,molluscs and other aquatic invertebrates, fitfor human consumption.",03,4,2025-11-14 21:49:39.532190
Section I,0301.11.10,Restricted species under the Fisheries Ordinance,030111,8,2025-11-14 21:49:39.532190
Section I,0301.11.90,Other,030111,8,2025-11-14 21:49:39.532190
Section I,0301.19.10,Restricted species under the Fisheries Ordinance,030119,8,2025-11-14 21:49:39.532190
Section I,0301.19.90,Other,030119,8,2025-11-14 21:49:39.532190
Section I,0301.91,"Trout (Salmo trutta, Oncorhynchus mykiss,Oncorhynchus clarki, Oncorhynchus aguabonita,Oncorhynchus gilae, Oncorhynchus apache andOncorhynchus chrysogaster )",0301,6,2025-11-14 21:49:39.532190
Section I,0301.92,Eels (Anguilla spp. ),0301,6,2025-11-14 21:49:39.532190
Section I,0301.93,"Carp (Cyprinus spp., Carassius spp.,Ctenopharyngodon idellus, Hypophthalmichthysspp., Cirrhinus spp., Mylopharyngodon piceus,Catla catla, Labeo spp., Osteochilus hasselti,Leptobarbus hoeveni, Megalobrama spp.)",0301,6,2025-11-14 21:49:39.532190
Section I,0301.94,"Atlantic and Pacific bluefin tunas (Thunnusthynnus, Thunnus orientalis)",0301,6,2025-11-14 21:49:39.532190
Section I,0301.95,Southern bluefin tunas (Thunnus maccoyii ),0301,6,2025-11-14 21:49:39.532190
Section I,0301.99,Other,0301,6,2025-11-14 21:49:39.532190
Section I,0302.11,"Trout (Salmo trutta, Oncorhynchus mykiss,Oncorhynchus clarki, Oncorhynchus aguabonita,Oncorhynchus gilae, Oncorhynchus apache andOncorhynchus chrysogaster )",0302,6,2025-11-14 21:49:39.532190
Section I,0302.13,"Pacific salmon (Oncorhynchus nerka,Oncorhynchus gorbuscha, Oncorchynchus keta,Oncorhynchus tschawytscha, Oncorhynchuskisutch, Oncorhynchus masou and Oncorhynchusrhodurus )",0302,6,2025-11-14 21:49:39.532190
Section I,0302.14,"Atlantic Salmon (Salmo salar ) and Danube salmon(Hucho hucho )",0302,6,2025-11-14 21:49:39.532190
Section I,0302.19,Other,0302,6,2025-11-14 21:49:39.532190
Section I,0302.21,"Halibut (Reinhardtius hippoglassoides,Hippoglossus hippoglossus, Hippoglossusstenolepis)",0302,6,2025-11-14 21:49:39.532190
Section I,0302.22,Plaice (Pleuronectes platessa ),0302,6,2025-11-14 21:49:39.532190
Section I,0302.23,Sole (Solea spp. ),0302,6,2025-11-14 21:49:39.532190
Section I,0302.24,Turbots (Psetta maxima),0302,6,2025-11-14 21:49:39.532190
Section I,0302.29,Other,0302,6,2025-11-14 21:49:39.532190
Section I,0302.31,Albacore or longfinned tunas (Thunnus alalunga ),0302,6,2025-11-14 21:49:39.532190
Section I,0302.32,Yellowfin tunas (Thunnus albacares ),0302,6,2025-11-14 21:49:39.532190
Section I,0302.33,"Skipjack tuna (stripe-bellied bonito) (Katsuwonuspelamis )",0302,6,2025-11-14 21:49:39.532190
Section I,0302.34,Bigeye tunas (Thunnus obesus ),0302,6,2025-11-14 21:49:39.532190
Section I,0302.35,"Atlantic and Pacific bluefin tunas (Thunnusthynnus, Thunnus orientalis)",0302,6,2025-11-14 21:49:39.532190
Section I,0302.36,Southern bluefin tunas (Thunnus maccoyii ),0302,6,2025-11-14 21:49:39.532190
Section I,0302.39,Other,0302,6,2025-11-14 21:49:39.532190
Section I,0302.41,"Herrings (Clupea harengus, Clupea pallasii )",0302,6,2025-11-14 21:49:39.532190
Section I,0302.42,Anchovies (Engraulis spp .),0302,6,2025-11-14 21:49:39.532190
Section I,0302.43,"Sardines (Sardina pilchardus, Sardinops spp. ),Sardinella (Sardinella spp. ), brisling or sprats(Sprattus sprattus ) sardinella",0302,6,2025-11-14 21:49:39.532190
Section I,0302.44,"Mackerel (Scomber scombrus, Scomberaustralasicus, Scomber japonicus )",0302,6,2025-11-14 21:49:39.532190
Section I,0302.45,Jack and horse mackerel (Trachurus spp .),0302,6,2025-11-14 21:49:39.532190
Section I,0302.46,Cobia (Rachycentron canadum ),0302,6,2025-11-14 21:49:39.532190
Section I,0302.47,Swordfish (Xiphias gladius ),0302,6,2025-11-14 21:49:39.532190
Section I,0302.49,Other,0302,6,2025-11-14 21:49:39.532190
Section I,0302.51,"Cod (Gadus morhua, Gadus ogac, Gadusmacrocephalus )",0302,6,2025-11-14 21:49:39.532190
Section I,0302.52,Haddock (Melanogrammus aeglefinus ),0302,6,2025-11-14 21:49:39.532190
Section I,0302.53,Coalfish (Pollachius virens ),0302,6,2025-11-14 21:49:39.532190
Section I,0302.54,"Hake (Merluccius spp., Urophycis spp .)",0302,6,2025-11-14 21:49:39.532190
Section I,0302.55,Alaska Pollock (Theragra chalcogramma ),0302,6,2025-11-14 21:49:39.532190
Section I,0302.56,"Blue whitings (Micromesistius poutassou,Micromesistius australis )",0302,6,2025-11-14 21:49:39.532190
Section I,0302.59,Other,0302,6,2025-11-14 21:49:39.532190
Section I,0302.71,Tilapias (Oreochromis spp .),0302,6,2025-11-14 21:49:39.532190
Section I,0302.72,"Catfish (Pangasius spp., Silurus spp., Clarias spp.,Ictalurus spp. )",0302,6,2025-11-14 21:49:39.532190
Section I,0302.73,"Carp (Cyprinus spp., Carassius spp.,Ctenopharyngodon idellus, Hypophthalmichthysspp., Cirrhinus spp., Mylopharyngodon piceus,Catla catla, Labeo spp., Osteochilus hasselti,Leptobarbus hoeveni, Megalobrama spp. )",0302,6,2025-11-14 21:49:39.532190
Section I,0302.74,Eels (Anguilla spp. ),0302,6,2025-11-14 21:49:39.532190
Section I,0302.79,Other,0302,6,2025-11-14 21:49:39.532190
Section I,0302.81,Dogfish and other sharks,0302,6,2025-11-14 21:49:39.532190
Section I,0302.82,Rays and skates (Rajidae ),0302,6,2025-11-14 21:49:39.532190
Section I,0302.83,Toothfish (Dissostichus spp. ),0302,6,2025-11-14 21:49:39.532190
Section I,0302.84,Seabass (Dicentrarchus spp .),0302,6,2025-11-14 21:49:39.532190
Section I,0302.85,Seabream (Sparidae),0302,6,2025-11-14 21:49:39.532190
Section I,0302.89.10,"Linna fish (Decapterus punctatus, Decapterusrusselli)",030289,8,2025-11-14 21:49:39.532190
Section I,0302.89.90,Other,030289,8,2025-11-14 21:49:39.532190
Section I,0302.91,"Livers, roes and milt",0302,6,2025-11-14 21:49:39.532190
Section I,0302.92,Shark fins,0302,6,2025-11-14 21:49:39.532190
Section I,0302.99,Other,0302,6,2025-11-14 21:49:39.532190
Section I,0303.11,"Sockeye salmon (red salmon) (Oncorhynchusnerka )",0303,6,2025-11-14 21:49:39.532190
Section I,0303.12,"Other Pacific salmon (Oncorhynchus gorbuscha,Oncorhynchus keta, Oncorhynchus tschawytscha,Oncorhynchus kisutch,Oncorhynchus masou  andOncorhynchus rhodurus )",0303,6,2025-11-14 21:49:39.532190
Section I,0303.13,"Atlantic salmon (Salmo salar)  and Danube salmon(Hucho hucho )",0303,6,2025-11-14 21:49:39.532190
Section I,0303.14,"Trout (Salmo trutta, Oncorhynchus mykiss,Oncorhynchus clarki, Oncorhynchus aguabonita,Oncorhynchus gilae,Oncorhynchus apache  andOncorhynchus chrysogaster )",0303,6,2025-11-14 21:49:39.532190
Section I,0303.19,Other,0303,6,2025-11-14 21:49:39.532190
Section I,0303.23,Tilapias (Oreochromis spp. ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.24,"Catfish (Pangasius spp., Silurus spp., Clarias spp.,Ictalurus spp. )",0303,6,2025-11-14 21:49:39.532190
Section I,0303.25,"Carp (Cyprinus spp., Carassiusspp.,Ctenopharyngodon idellus,Hypophthalmichthys spp.,  Cirrhinus spp.,Mylopharyngodon piceus,Catla catla, Labeospp.,Osteochilus hasselti, Leptobarbus hoeveni,Megalobrama spp.)",0303,6,2025-11-14 21:49:39.532190
Section I,0303.26,Eels (Anguilla spp. ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.29,Other,0303,6,2025-11-14 21:49:39.532190
Section I,0303.31,"Halibut (Reinhardtius hippoglassoides,Hippoglossus hippoglossus, Hippoglossusstenolepis )",0303,6,2025-11-14 21:49:39.532190
Section I,0303.32,Plaice (Pleuronectes platessa ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.33,Sole (Solea spp. ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.34,Turbots (Psetta maxima),0303,6,2025-11-14 21:49:39.532190
Section I,0303.39,Other,0303,6,2025-11-14 21:49:39.532190
Section I,0303.41,Albacore or longfinned tunas (Thunnus alalunga ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.42,Yellowfin tunas (Thunnus albacares ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.43,"Skipjack tuna (stripe-bellied bonito) (Katsuwonuspelamis)",0303,6,2025-11-14 21:49:39.532190
Section I,0303.44,Bigeye tunas (Thunnus obesus ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.45,"Atlantic and Pacific bluefin tunas (Thunnusthynnus , Thunnus orientalis )",0303,6,2025-11-14 21:49:39.532190
Section I,0303.46,Southern bluefin tunas (Thunnus maccoyii ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.49,Other,0303,6,2025-11-14 21:49:39.532190
Section I,0303.51,"Herrings (Clupea harengus, Clupea pallasii)",0303,6,2025-11-14 21:49:39.532190
Section I,0303.53,"Sardines (Sardina pilchardus , Sardinops spp .),sardinella (Sardinella spp .), brisling or sprats(Sprattus sprattus )",0303,6,2025-11-14 21:49:39.532190
Section I,0303.54,"Mackerel (Scomber scombrus , Scomberaustralasicus , Scomber japonicus )",0303,6,2025-11-14 21:49:39.532190
Section I,0303.55,Jack and horse mackerel (Trachurus spp. ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.56,Cobia (Rachycentron canadum ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.57,Swordfish (Xiphias gladius ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.59,Other,0303,6,2025-11-14 21:49:39.532190
Section I,0303.63,"Cod (Gadus morhua, Gadus ogac, Gadusmacrocephalus )",0303,6,2025-11-14 21:49:39.532190
Section I,0303.64,Haddock (Melanogrammus aeglefinus ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.65,Coalfish (Pollachius virens ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.66,"Hake (Merluccius spp., Urophycis spp .)",0303,6,2025-11-14 21:49:39.532190
Section I,0303.67,Alaska Pollock (Theragra chalcogramma ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.68,"Blue whitings (Micromesistius poutassou,Micromesistius australis )",0303,6,2025-11-14 21:49:39.532190
Section I,0303.69,Other,0303,6,2025-11-14 21:49:39.532190
Section I,0303.81,Dogfish and other sharks,0303,6,2025-11-14 21:49:39.532190
Section I,0303.82,Rays and skates (Rajidae ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.83,Toothfish (Dissostichus spp. ),0303,6,2025-11-14 21:49:39.532190
Section I,0303.84,Seabass (Dicentrarchus spp .),0303,6,2025-11-14 21:49:39.532190
Section I,0303.89.10,"Linna fish (Decapterus punctatus, Decapterusrusselli)",030389,8,2025-11-14 21:49:39.532190
Section I,0303.89.90,Other,030389,8,2025-11-14 21:49:39.532190
Section I,0303.91,"Livers, roes and milt",0303,6,2025-11-14 21:49:39.532190
Section I,0303.92,Shark fins,0303,6,2025-11-14 21:49:39.532190
Section I,0303.99.10,Tuna heads,030399,8,2025-11-14 21:49:39.532190
Section I,0303.99.90,Other,030399,8,2025-11-14 21:49:39.532190
Section I,0304.31,Tilapias (Oreochromis spp. ),0304,6,2025-11-14 21:49:39.532190
Section I,0304.32,"Catfish (Pangasius spp., Silurus spp., Clarias spp.,Ictalurus spp .)",0304,6,2025-11-14 21:49:39.532190
Section I,0304.33,Nile Perch (Lates niloticus ),0304,6,2025-11-14 21:49:39.532190
Section I,0304.39,Other,0304,6,2025-11-14 21:49:39.532190
Section I,0304.41.00,"Pacific salmon (Oncorhynchus nerka ,Oncorhynchus gorbuscha , Oncorhynchus keta ,Oncorhynchus tschawytscha , Oncorhynchuskisutch , Oncorhynchus masou and Oncorhynchusrhodurus ), Atlantic salmon (Salmo salar ) andDanube salmon (Hucho hucho )",030441,8,2025-11-14 21:49:39.532190
Section I,0304.42.00,"Trout (Salmo trutta , Oncorhynchus mykiss ,Oncorhynchus clarki , Oncorhynchus aguabonita ,Oncorhynchus gilae , Oncorhynchus apache andOncorhynchus chrysogaster )",030442,8,2025-11-14 21:49:39.532190
Section I,0304.43.00,"Flat fish (Pleuronectidae , Bothidae , Cynoglossidae ,Soleidae , Scophthalmidae and Citharidae )",030443,8,2025-11-14 21:49:39.532190
Section I,0304.44.00,"Fish of the families Bregmacerotidae ,Euclichthyidae , Gadidae , Macrouridae ,Melanonidae , Merlucciidae , Moridae andMuraenolepididae",030444,8,2025-11-14 21:49:39.532190
Section I,0304.45.00,Swordfish (Xiphias gladius ),030445,8,2025-11-14 21:49:39.532190
Section I,0304.46.00,Toothfish (Dissostichus spp .),030446,8,2025-11-14 21:49:39.532190
Section I,0304.47.10,Sharks,030447,8,2025-11-14 21:49:39.532190
Section I,0304.47.90,Other,030447,8,2025-11-14 21:49:39.532190
Section I,0304.48.00,Rays and skates (Rajidae ),030448,8,2025-11-14 21:49:39.532190
Section I,0304.49.00,Other,030449,8,2025-11-14 21:49:39.532190
Section I,0304.51.00,"Tilapias (Oreochromis spp .), catfish (Pangasiusspp ., Silurus spp ., Clarias spp ., Ictalurus spp .),carp (Cyprinus spp., Carassius spp.,Ctenopharyngodon idellus, Hypophthalmichthysspp., Cirrhinus spp., Mylopharyngodonpiceus),Catla catla, Labeo spp., Osteochilushasselti, Leptobarbus hoeveni, Megalobrama spp.),eels (Anguilla spp .), Nile perch (Lates niloticus )",030451,8,2025-11-14 21:49:39.532190
Section I,0304.52.00,Salmonidae,030452,8,2025-11-14 21:49:39.532190
Section I,0304.53.00,"Fish of the families Bregmacerotidae ,Euclichthyidae , Gadidae , Macrouridae ,Melanonidae ,  Merlucciidae , Moridae andMuraenolepididae",030453,8,2025-11-14 21:49:39.532190
Section I,0304.54.00,Swordfish (Xiphias gladius ),030454,8,2025-11-14 21:49:39.532190
Section I,0304.55.00,Toothfish (Dissostichus spp .),030455,8,2025-11-14 21:49:39.532190
Section I,0304.56.10,Sharks,030456,8,2025-11-14 21:49:39.532190
Section I,0304.56.90,Other,030456,8,2025-11-14 21:49:39.532190
Section I,0304.57,Rays and skates (Rajidae),0304,6,2025-11-14 21:49:39.532190
Section I,0304.59,Other,0304,6,2025-11-14 21:49:39.532190
Section I,0304.61,Tilapias (Oreochromis spp. ),0304,6,2025-11-14 21:49:39.532190
Section I,0304.62,"Catfish (Pangasius spp ., Silurus spp ., Clarias spp .,Ictalurus spp .)",0304,6,2025-11-14 21:49:39.532190
Section I,0304.63,Nile Perch (Lates niloticus ),0304,6,2025-11-14 21:49:39.532190
Section I,0304.69,Other,0304,6,2025-11-14 21:49:39.532190
Section I,0304.71,"Cod (Gadus morhua, Gadus ogac, Gadusmacrocephalus)",0304,6,2025-11-14 21:49:39.532190
Section I,0304.72,Haddock (Melanogrammus aeglefinus ),0304,6,2025-11-14 21:49:39.532190
Section I,0304.73,Coalfish (Pollachius virens ),0304,6,2025-11-14 21:49:39.532190
